[7-24-2017/4:6:11 PM] - [Bill Cozby:STEAM_0:0:20151212] TRADED [$0] [1 credits] [] FOR [Bill Johnson:STEAM_0:1:88983399] [$0] [0 credits] [tfa_cso_quadbarrel:1]
[7-24-2017/4:7:25 PM] - [Bill Cozby:STEAM_0:0:20151212] TRADED [$0] [1 credits] [] FOR [Greek Yogurt:STEAM_0:1:74678819] [$0] [0 credits] [tfa_cso_divinelock:1]
[7-24-2017/4:33:37 PM] - [Bill Cozby:STEAM_0:0:20151212] TRADED [$0] [0 credits] [] FOR [Chris Eat:STEAM_0:1:178797417] [$0] [0 credits] [tfa_cso_divinelock:1,tfa_cso_m950_attack:1]
[7-24-2017/4:44:37 PM] - [Bill Cozby:STEAM_0:0:20151212] TRADED [$0] [0 credits] [ent_ruby_key:3] FOR [Chris Eat:STEAM_0:1:178797417] [$350000] [0 credits] []
[7-24-2017/4:57:15 PM] - [Bill Cozby:STEAM_0:0:20151212] TRADED [$0] [0 credits] [ent_ruby_key:7] FOR [Tyrequis Junston:STEAM_0:1:89165674] [$1225000] [0 credits] []
[7-24-2017/5:12:33 PM] - [Bill Cozby:STEAM_0:0:20151212] TRADED [$0] [30 credits] [] FOR [Tyrequis Junston:STEAM_0:1:89165674] [$0] [0 credits] [tfa_cso_thanatos9:1]
[7-24-2017/5:15:3 PM] - [Bill Cozby:STEAM_0:0:20151212] TRADED [$0] [0 credits] [tfa_cso_railcannon:1] FOR [Tyrequis Junston:STEAM_0:1:89165674] [$0] [0 credits] [tfa_cso_aeolis:1]
[7-24-2017/5:21:55 PM] - [Bill Cozby:STEAM_0:0:20151212] TRADED [$0] [8 credits] [] FOR [Flooid Greenshadow:STEAM_0:0:114798600] [$800000] [0 credits] []
[7-24-2017/5:53:22 PM] - [Gron Dutch:STEAM_0:0:158224188] TRADED [$0] [0 credits] [rp_meth:1] FOR [Dutch Gron:STEAM_0:0:56749324] [$0] [0 credits] [rp_weed:1]
[7-24-2017/6:42:2 PM] - [Young Gangsta:STEAM_0:0:116588335] TRADED [$0] [0 credits] [] FOR [Meat Spin:STEAM_0:0:95163698] [$0] [0 credits] [tfcss_ak47:1]
[7-24-2017/6:53:47 PM] - [Bill Cozby:STEAM_0:0:20151212] TRADED [$0] [0 credits] [tfa_cso_watergun:1] FOR [Greek Yogurt:STEAM_0:1:74678819] [$50000] [0 credits] []
