[6-20-2017/2:15:0 PM] - [Tyreese Jayqueese:STEAM_0:0:27202172] TRADED [$0] [1 credits] [] FOR [Nba Trap:STEAM_0:0:77197499] [$150000] [0 credits] []
[6-20-2017/3:15:35 PM] - [Steve Fromaccounting:STEAM_0:0:48179549] TRADED [$0] [0 credits] [] FOR [Tyreese Jayqueese:STEAM_0:0:27202172] [$100000] [0 credits] []
[6-20-2017/3:29:54 PM] - [Kwoon Chigga:STEAM_0:1:59463264] TRADED [$0] [0 credits] [] FOR [Bae Max:STEAM_0:0:24943420] [$0] [0 credits] [ent_ruby_key:1]
[6-20-2017/3:33:2 PM] - [Kwoon Chigga:STEAM_0:1:59463264] TRADED [$0] [0 credits] [ent_ruby_key:1] FOR [Nba Trap:STEAM_0:0:77197499] [$250000] [0 credits] []
[6-20-2017/4:9:20 PM] - [Kwoon Chigga:STEAM_0:1:59463264] TRADED [$0] [0 credits] [] FOR [Nba Trap:STEAM_0:0:77197499] [$0] [0 credits] [tfa_cso_ksg12_expert:1]
[6-20-2017/4:32:48 PM] - [Asdasdasd Asdasd:STEAM_0:0:202316028] TRADED [$0] [0 credits] [rp_weed:1] FOR [Kwoon Chigga:STEAM_0:1:59463264] [$50000] [0 credits] []
[6-20-2017/4:43:24 PM] - [Tyrequis Junston:STEAM_0:1:89165674] TRADED [$471000] [0 credits] [] FOR [Kwoon Chigga:STEAM_0:1:59463264] [$0] [0 credits] [ent_ruby_key:1]
[6-20-2017/5:3:1 PM] - [Bill Cozby:STEAM_0:0:20151212] TRADED [$0] [0 credits] [ent_ruby_key:1] FOR [Nba Trap:STEAM_0:0:77197499] [$0] [0 credits] []
[6-20-2017/5:8:29 PM] - [Bill Cozby:STEAM_0:0:20151212] TRADED [$0] [1 credits] [] FOR [Nba Trap:STEAM_0:0:77197499] [$0] [0 credits] [tfa_cso_balrog1:1,tfa_ava_auto9_death:1]
[6-20-2017/5:12:14 PM] - [George Spiegel:STEAM_0:0:56382763] TRADED [$0] [0 credits] [rp_weed:1] FOR [Pineapple Man:STEAM_0:0:75399709] [$0] [0 credits] []
